# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
8 20000 150 3 332.02 350.016 4563 30 1556.57 606.493 7996 793 178.884 157.935 5127 61
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
8 20000 1500 30 306.221 156.148 3875 0 1578.59 273.553 8209 732 182.475 94.0531 6348 61
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
8 20000 15000 300 316.778 492.967 25286 -27 1574.38 244.747 9369 732 181.744 86.5182 7995 61
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
8 40000 75 3 314.52 71.3983 681 30 1614.09 205.768 3082 1525 187.265 68.6728 1404 61
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
8 40000 750 30 363.375 847.498 22963 -2 1537.94 211.107 2594 732 177.493 51.5052 641 61
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
8 40000 7500 300 327.334 165.666 9624 0 1543.99 258.214 8728 732 178.586 75.0105 7141 30
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
8 60000 50 3 348.2 64.065 440 30 1687.64 707.122 6592 1526 196.15 194.166 3785 61
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
8 60000 500 30 336.688 91.7588 2028 0 1608.07 275.307 6653 1038 186.161 81.0603 3784 61
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
8 60000 5000 300 338.783 256.233 8737 0 1599.05 171.823 6195 763 185.153 56.9059 4761 61
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
16 20000 150 3 317.047 48.7069 445 0 3212.77 487.05 8972 3082 193.041 94.6584 4426 61
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
16 20000 1500 30 328.047 378.563 14273 28 3199.24 864.6 33966 1464 190.831 65.8461 4578 61
