# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
8 20000 150 3 214.387 931.927 10626 -87 4252.18 3270.04 18086 454 485.549 759.798 11963 38
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
8 20000 1500 30 1118.49 8568.55 138421 -91 5230.87 5230.19 158291 425 572.649 1623.08 155129 25
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
8 20000 15000 300 1351.07 7936.81 151516 -175 4357.01 3375.64 154441 413 502.081 986.337 151926 24
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
8 40000 75 3 85.96 134.841 914 -83 3672.31 2073.64 10299 524 430.22 336.645 5706 37
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
8 40000 750 30 213.055 643.004 7363 -94 4367.88 2042.22 24367 499 511.905 355.476 9689 28
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
8 40000 7500 300 905.094 6572.92 141820 -95 4956.31 3201.38 117458 466 581.304 891.652 108212 25
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
8 60000 50 3 112.16 141.779 804 -88 4182.36 2347.31 11969 561 492.748 489.394 7750 46
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
8 60000 500 30 822.126 7389.5 101991 -93 4584.75 5334.47 115719 501 539.809 1792.54 111864 29
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
8 60000 5000 300 985.456 8673.26 147545 -93 4712.35 2113.4 25907 530 553.881 393.421 15481 28
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
16 20000 150 3 707.887 3069.86 22376 -4 9651.97 4396.58 38535 4148 586.736 983.426 30269 114
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
16 20000 1500 30 904.234 6869.32 138209 -94 7581.37 5529.73 158074 827 454.51 1092.31 153667 25
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
16 20000 15000 300 1216.64 6986.81 162332 -193 7590.1 5071.45 161445 834 457.623 911.008 150195 25
# nproc interval ncycles secs cyc_avg cyc_stddev cyc_max cyc_min run_avg run_stddev run_max run_min thd_avg thd_stddev thd_max thd_min
